"CNPJ_Companhia","Data_Referencia","Versao","ID_Documento","Quantidade_Acionistas_PF","Quantidade_Acionistas_PJ","Quantidade_Acionistas_Investidores_Institucionais","Quantidade_Acoes_Ordinarias_Circulacao","Percentual_Acoes_Ordinarias_Circulacao","Quantidade_Acoes_Preferenciais_Circulacao","Percentual_Acoes_Preferenciais_Circulacao","Quantidade_Total_Acoes_Circulacao","Percentual_Total_Acoes_Circulacao","Data_Ultima_Assembleia"
"00.000.000/0001-91","2021-01-01",18,110982,828921,15206,1159,1420530937,49.575,0,0,1420530937,49.575,"2021-04-28"
"00.000.208/0001-00","2021-01-01",9,111004,2646,34,0,39346566,14.05,2605590,3.15,41952156,11.56,"2021-12-17"
"00.001.180/0001-26","2021-01-01",6,108270,122540,9677,953,358028908,27.779103,243134047,86.809,601162955,38.317,"2021-04-27"
"00.070.698/0001-11","2021-01-01",5,109579,1023,73,11,2444275,6.804606,11864425,32.80998,14308700,19.85061,"2021-10-25"
"00.080.671/0001-00","2021-01-01",3,109018,8,4,0,0,0,0,0,0,0,"2021-05-03"
"00.192.769/0001-59","2021-01-01",1,105168,0,1,0,0,0,0,0,0,0,"2014-08-29"
"00.194.724/0001-13","2021-01-01",2,108168,0,1,0,0,0,0,0,0,0,"2021-05-13"
"00.242.184/0001-04","2021-01-01",8,110861,4,0,1,170115256,49.200455,0,0,170115256,49.200455,"2021-07-21"
"00.272.185/0001-93","2021-01-01",1,105336,0,2,0,0,0,0,0,0,0,"2021-04-20"
"00.336.701/0001-04","2021-01-01",7,110440,7543,1532,75,928969,1.8782,2167691,11.7761,3096660,4.5629,"2020-07-27"
"00.359.742/0001-08","2021-01-01",3,110341,5707,26,0,6355462,30.410372,0,0,6355462,30.410372,"2021-03-31"
"00.383.281/0001-09","2021-01-01",6,110867,0,1,0,0,0,0,0,0,0,"2019-04-30"
"00.389.481/0001-79","2021-01-01",1,105304,2,0,0,0,0,0,0,0,0,"2020-12-31"
"00.416.968/0001-01","2021-01-01",15,110724,176796,495,1386,597833762,46.222818,1155705869,89.922108,1753539631,68.003457,"2021-08-10"
"00.545.378/0001-70","2021-01-01",2,105553,0,0,2,29188116,100,0,0,29188116,100,"2010-04-30"
"00.622.416/0001-41","2021-01-01",4,108826,0,2,0,0,0,0,0,0,0,"2018-12-14"
"00.644.907/0001-93","2021-01-01",1,105249,30,15,0,402202302,51.14,384203962,48.86,786406264,100,"2021-04-28"
"00.743.065/0001-27","2021-01-01",2,110579,0,3,1,215495403,0,0,0,215495403,100,"2019-09-09"
"00.776.574/0001-56","2021-01-01",10,111038,42945,1253,353,397635158,44.028238,0,0,397635158,44.028238,"2021-06-10"
"00.864.214/0001-06","2021-01-01",5,110891,20735,528,1108,249268674,33.020357,993910757,94.283908,1243179431,68.719563,"2021-04-28"
"00.897.864/0001-58","2021-01-01",2,104591,0,2,0,2e+05,100,0,0,2e+05,100,"1995-11-13"
"00.924.429/0001-75","2021-01-01",2,108092,1,6,0,23,1.6e-05,3,15.789474,26,1.8e-05,"2021-08-09"
"00.938.574/0001-05","2021-01-01",2,108271,0,7,1,48786,100,37680,100,86466,100,"2021-03-12"
"00.974.211/0001-25","2021-01-01",3,108664,0,1,0,0,0,0,0,0,0,"2021-04-28"
"00.979.969/0001-56","2021-01-01",1,103284,5,1,0,0,0,0,0,0,0,"2019-04-29"
"01.027.058/0001-91","2021-01-01",8,111034,181358,1313,333,1144359228,42.121,0,0,1144359228,42.121,"2021-04-23"
"01.083.200/0001-18","2021-01-01",5,110901,51040,840,515,226098192,18.627082,0,0,226098192,18.627082,"2021-04-12"
"01.104.937/0001-70","2021-01-01",4,109043,28263,225,0,1915985,16.29,0,0,1915985,16.29,"2021-04-26"
"01.107.327/0001-20","2021-01-01",2,106121,2,0,1,0,0,0,0,0,0,"2021-06-23"
"01.258.944/0001-26","2021-01-01",1,105394,0,1,0,0,0,0,0,0,0,"2020-04-30"
"01.319.044/0001-41","2021-01-01",1,103915,2,0,0,100,100,0,0,100,100,"2017-04-28"
"01.417.222/0001-77","2021-01-01",2,108662,494,14,0,4309906,2.288454,1951372,1.286613,6261278,1.841552,"2021-04-29"
"01.468.594/0001-22","2021-01-01",5,109183,4,1,0,0,0,0,0,0,0,"2021-03-12"
"01.543.032/0001-04","2021-01-01",10,110871,20,1,1,102022,0.036,0,0,102022,0.036,"2021-04-20"
"01.545.826/0001-07","2021-01-01",6,109241,30600,174,100,118208091,98.506743,0,0,118208091,98.506743,"2020-04-30"
"01.548.981/0001-79","2021-01-01",5,110977,1254,124,2,15919,2.0097,26651,1.6956,42570,1.80081,"2021-04-30"
"01.599.101/0001-93","2021-01-01",16,110738,8552,51,300,122837313,88.099,0,0,122837313,88.099,"2021-04-26"
"01.616.929/0001-02","2021-01-01",6,109569,1,60,3,0,0,0,0,0,0,"2019-10-18"
"01.838.723/0001-27","2021-01-01",6,110720,59091,1871,34,811759800,99.912188,0,0,811759800,99.912188,"2021-04-27"
"01.851.771/0001-55","2021-01-01",1,104991,0,1,1,0,0,0,0,0,0,"2021-04-30"
"01.896.779/0001-38","2021-01-01",3,110317,23381,226,118,18488934,44.2,0,0,18488934,44.2,"2021-11-17"
"01.917.818/0001-36","2021-01-01",8,111010,0,1,0,0,0,0,0,0,0,"2021-04-29"
"01.938.783/0001-11","2021-01-01",3,110370,1537,26,3,2805965,43.67,1601554,24.92,4407519,34.29,"2021-04-30"
"01.957.772/0001-89","2021-01-01",2,105881,0,4,1,0,0,0,0,0,0,"2014-12-26"
"01.971.614/0001-83","2021-01-01",4,109413,2453,1501,2,69915,6.81,143068,16.37,212983,11.2,"2021-04-30"
"01.989.044/0001-59","2021-01-01",1,103950,2,0,0,1000,100,0,0,1000,100,"2019-04-30"
"02.016.440/0001-62","2021-01-01",3,109137,0,1,0,0,0,0,0,0,0,"2021-04-29"
"02.062.747/0001-08","2021-01-01",1,104993,0,1,1,0,9e-06,0,0,0,9e-06,"2021-04-30"
"02.105.040/0001-23","2021-04-01",3,108918,0,2,0,41403,99.409349,246,0.590651,41649,100,"2020-04-30"
"02.105.040/0001-23","2021-12-31",1,100560,0,2,0,41403,99.409349,246,0.590651,41649,100,"2020-04-30"
"02.149.205/0001-69","2021-01-01",4,109370,76856,413,666,181864206,28.126837,0,0,181864206,28.126837,"2021-10-20"
"02.162.616/0001-94","2021-01-01",4,108892,1,1,0,0,0,0,0,0,0,"2019-04-29"
"02.193.750/0001-52","2021-01-01",12,110454,8374,503,116,53766810,57.19,5307231,5.645,59074041,62.836,"2021-08-11"
"02.201.787/0001-85","2021-01-01",1,105190,4,4,0,2609000,99.999,30,0.001,2609030,100,"2012-04-30"
"02.217.319/0001-07","2021-01-01",1,105344,1,0,0,0,0,0,0,0,0,"2021-04-16"
"02.221.531/0001-30","2021-01-01",4,110384,0,1,0,0,0,0,0,0,0,"2021-04-05"
"02.255.187/0001-08","2021-01-01",3,108394,6,1,0,101099463,27.92,0,0,101099463,27.92,"2021-06-10"
"02.258.422/0001-97","2021-01-01",3,110993,0,1,0,0,0,0,0,0,0,"2012-05-03"
"02.281.836/0001-37","2021-01-01",3,109933,0,6,0,26099763,0,26099748,0,52199511,0,"2019-05-10"
"02.286.479/0001-08","2021-01-01",4,109036,0,1,0,0,0,0,0,0,0,"2021-03-29"
"02.291.077/0001-93","2021-01-01",2,103648,0,1,5,45000,45,0,0,45000,45,"2021-04-24"
"02.302.100/0001-06","2021-01-01",5,110930,0,1,0,39091735037,100,0,0,39091735037,100,"2021-04-30"
"02.302.101/0001-42","2021-01-01",6,110476,30832,246,9,1097,0.00746,22189646,99.765899,22190743,60.060878,"2021-04-23"
"02.318.346/0001-68","2021-01-01",3,110456,0,1,1,0,0.002,0,0,0,0.002,"2021-10-15"
"02.328.280/0001-97","2021-01-01",7,109687,1130,24,8,25147,0.027369,598697,0.587659,623844,0.321969,"2021-04-09"
"02.338.534/0001-58","2021-01-01",1,109555,6,3,2,24013,0.4949,0,0,24013,0.4949,"2012-05-03"
"02.351.144/0001-18","2021-01-01",5,110833,14409,81,248,32001480,48.485,0,0,32001480,48.485,"2021-04-13"
"02.351.877/0001-52","2021-01-01",8,110592,63593,1011,900,431783548,73.235591,0,0,431783548,73.235591,"2021-05-11"
"02.357.251/0001-53","2021-01-01",2,108748,0,5,0,0,0,0,0,0,0,"2021-04-19"
"02.365.069/0001-44","2021-01-01",3,108695,4842,25,32,34893806,44.48,0,0,34893806,44.48,"2021-03-31"
"02.382.073/0001-10","2021-01-01",3,106383,0,2,0,1,0,0,0,1,0,"2021-04-29"
"02.387.241/0001-60","2021-01-01",6,108983,80106,2276,46,1216056103,65.57,0,0,1216056103,65.57,"2021-04-27"
"02.397.080/0001-96","2021-01-01",5,108470,0,2,0,0,0,0,0,0,0,"2021-04-06"
"02.415.408/0001-50","2021-01-01",2,108242,0,1,0,0,0,0,0,0,0,"2001-07-26"
"02.421.421/0001-11","2021-01-01",5,111021,1259476,229157,83,808619532,33.402927,0,0,808619532,33.402927,"2021-03-31"
"02.429.144/0001-93","2021-01-01",2,108760,26667,4825,1100,187732538,16.29,0,0,187732538,16.29,"2021-04-30"
"02.451.848/0001-62","2021-01-01",2,108244,0,1,0,0,0,0,0,0,0,"2021-04-05"
"02.474.103/0001-19","2021-01-01",6,109470,232303,8121,980,255217329,31.279403,0,0,255217329,31.279403,"2021-04-28"
"02.502.844/0001-66","2021-01-01",1,105683,0,1,0,0,0,0,0,0,0,"2019-04-30"
"02.509.186/0001-34","2021-01-01",2,109509,0,1,0,610000,100,0,0,610000,100,"2018-04-20"
