"CNPJ_Companhia","Data_Referencia","Versao","ID_Documento","Data_Inicio_Exercicio_Social","Data_Fim_Exercicio_Social","Total_Remuneracao","Orgao_Administracao","Numero_Membros","Total_Remuneracao_Orgao","Numero_Membros_Remunerados","Salario","Beneficios_Diretos_Indiretos","Participacoes_Comites","Outros_Valores_Fixos","Descricao_Outros_Remuneracoes_Fixas","Bonus","Participacao_Resultados","Participacao_Reunioes","Outros_Valores_Variaveis","Comissoes","Descricao_Outros_Remuneracoes_Variaveis","Pos_emprego","Cessacao_Cargo","Baseada_Acoes","Observacao"
"00.000.000/0001-91","2021-01-01",18,110982,"2021-01-01","2021-05-28",66554887.78,"Conselho de Administração",8,567824.64,8,567824.64,0,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,0,0,"Não Aplicável.",0,0,0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/N.º 1/2021."
"00.000.000/0001-91","2021-01-01",18,110982,"2021-01-01","2021-05-28",66554887.78,"Diretoria Estatutária",34,65632172.74,34,24132541.81,8085342.14,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,11138096.22,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,11138096.22,11138096.35,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/N.º 1/2021."
"00.000.000/0001-91","2021-01-01",18,110982,"2021-01-01","2021-05-28",66554887.78,"Conselho Fiscal",5,354890.4,5,354890.4,0,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,0,0,"Não Aplicável.",0,0,0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/N.º 1/2021."
"00.000.000/0001-91","2021-01-01",18,110982,"2020-01-01","2020-12-31",49595534,"Conselho de Administração",7.58,312355.78,4.42,312355.78,0,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,0,0,"Não Aplicável.",0,0,0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/N.º 1/2021."
"00.000.000/0001-91","2021-01-01",18,110982,"2020-01-01","2020-12-31",49595534,"Diretoria Estatutária",33.5,48951217.74,41.17,23845535.4,4307342.26,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,9163052.97,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,833824.37,10801462.74,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/N.º 1/2021."
"00.000.000/0001-91","2021-01-01",18,110982,"2020-01-01","2020-12-31",49595534,"Conselho Fiscal",4.5,331960.48,4.84,331960.48,0,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,0,0,"Não Aplicável.",0,0,0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/N.º 1/2021."
"00.000.000/0001-91","2021-01-01",18,110982,"2019-01-01","2019-12-31",54598338.68,"Conselho de Administração",7,306548.08,4.25,306548.08,0,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,0,0,"Não Aplicável.",0,0,0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020."
"00.000.000/0001-91","2021-01-01",18,110982,"2019-01-01","2019-12-31",54598338.68,"Diretoria Estatutária",35.75,53939042.17,42.42,25246856.56,3388688.12,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,9272678.79,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre a Remuneração Variável dos Administrados (RVA) constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,741158.21,15289660.49,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020."
"00.000.000/0001-91","2021-01-01",18,110982,"2019-01-01","2019-12-31",54598338.68,"Conselho Fiscal",3.83,352748.43,4.75,352748.43,0,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,0,0,"Não Aplicável.",0,0,0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 2/2020."
"00.000.000/0001-91","2021-01-01",18,110982,"2018-01-01","2018-12-31",58924949.61,"Conselho de Administração",7.25,323402.3,4.5,323402.3,0,0,0,"A contribuição previdenciária patronal e a contribuição fundiária ao FGTS incidentes sobre o salário ou pró-labore dos membros da Diretoria Executiva, do Conselho de Administração e do Conselho Fiscal do BB constam do item 13.16, em conformidade com o item b do subtítulo 10.2.13 do Ofício-circular/CVM/SEP/ N.º 1/2021, de 26/2/2021.",0,0,0,0,0,"Não Aplicável.",0,0,0,"O número de membros remunerados de cada órgão corresponde à média anual do número de membros remunerados de cada órgão apurado mensalmente, com duas casas decimais, em conformidade com o Ofício-circular/CVM/SEP/Nº 1/2021."
