Empresa,CNPJ,QteAciPF,QteAciPJ,QteAciII,QteAcoON,QteAcoPN
EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,02.302.100/0001-06,0,1,0,39091735037.0,0
PETROLEO BRASILEIRO S.A. PETROBRAS,33.000.167/0001-01,719683,6665,2693,3684060179.0,4566442248
CONC AUTO RAPOSO TAVARES S.A.,10.531.501/0001-58,0,1,0,4094242310.0,4094242309
BCO BRADESCO S.A.,60.746.948/0001-12,720919,35954,1259,1378842305.0,4691427537
"B3 S.A. - BRASIL, BOLSA, BALCÃO",09.346.601/0001-25,386804,3629,1488,6065856318.0,0
OI S.A. - EM RECUPERAÇÃO JUDICIAL,76.535.764/0001-43,1343512,213447,1313,5796444466.0,155915479
ITAÚSA S.A.,61.532.644/0001-15,956974,4408,0,1114419005.0,4736048447
ITAU UNIBANCO HOLDING S.A.,60.872.504/0001-23,491554,11554,1222,385293206.0,4780002924
VALE S.A.,33.592.510/0001-54,291684,2625,2254,4891940489.0,0
AMBEV S.A.,07.526.557/0001-00,333068,2334,800,4359158910.0,0
KLABIN S.A.,89.637.490/0001-45,173547,1751,56,922294338.0,3251977589
BCO BTG PACTUAL S.A.,30.306.294/0001-45,70579,2255,693,1301655996.0,2603700772
NU HOLDINGS LTD.,24.410.913/0001-44,4174,34,78,385491858.0,2805948474
CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,15.578.569/0001-06,0,2,0,3033541675.0,0
MAGAZINE LUIZA S.A.,47.960.950/0001-21,579661,2405,924,2896234638.0,0
RIO PARANA ENERGIA S.A.,23.096.269/0001-19,0,2,0,2338108737.0,0
CIA PARANAENSE DE ENERGIA - COPEL,76.483.817/0001-20,84214,1051,307,319774264.0,1566493506
COGNA EDUCAÇÃO S.A.,02.800.026/0001-40,303409,2316,329,1828106676.0,0
BANCO INTER S.A.,00.416.968/0001-01,176796,495,1386,597833762.0,1155705869
VIA S.A.,33.041.260/0652-90,495369,4709,1685,1596295753.0,0
