Empresa,CNPJ,Remunerados_Adm,Remunerados_Fis,Remunerados_Dir,Remuneracao_Adm,Remuneracao_Fis,Remuneracao_Dir
EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,02.302.100/0001-06,4.0,0.0,24.0,170580.0,0.0,13504879.0
PETROLEO BRASILEIRO S.A. PETROBRAS,33.000.167/0001-01,26.42,20.0,33.59,5769675.949999999,4337334.87,108895858.76000002
CONC AUTO RAPOSO TAVARES S.A.,10.531.501/0001-58,1.0,0.0,5.0,198747.83,0.0,6027699.98
BCO BRADESCO S.A.,60.746.948/0001-12,34.0,20.0,364.25,393556276.67,4320000.0,2714679551.16
"B3 S.A. - BRASIL, BOLSA, BALCÃO",09.346.601/0001-25,36.09,4.75,18.0,57376853.93,786600.0,318142238.44
OI S.A. - EM RECUPERAÇÃO JUDICIAL,76.535.764/0001-43,41.0,16.75,18.0,38739244.72,3509111.5,247153428.8
ITAÚSA S.A.,61.532.644/0001-15,25.92,40.0,23.5,33181830.0,5912267.0,91179491.0
ITAU UNIBANCO HOLDING S.A.,60.872.504/0001-23,47.5,24.0,87.63,246785527.0,3657000.0,1239212580.0
VALE S.A.,33.592.510/0001-54,52.25,19.75,28.74,48572018.59,7785903.16,594292892.51
AMBEV S.A.,07.526.557/0001-00,33.33,23.25,46.36,67149625.61,7612936.0,255033455.57999998
KLABIN S.A.,89.637.490/0001-45,53.25,20.0,15.42,55621942.31,6998066.19,104941608.25999999
BCO BTG PACTUAL S.A.,30.306.294/0001-45,16.0,0.0,53.1,43136000.0,0.0,113251000.0
NU HOLDINGS LTD.,24.410.913/0001-44,6.17,0.0,5.67,12392281.0,0.0,309809032.0
CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,15.578.569/0001-06,27.0,9.0,12.0,4215150.0,689821.37,20018939.1
MAGAZINE LUIZA S.A.,47.960.950/0001-21,21.0,12.0,15.0,12865670.0,1452363.0,166816787.0
RIO PARANA ENERGIA S.A.,23.096.269/0001-19,0.0,0.0,10.4,0.0,0.0,15706921.75
CIA PARANAENSE DE ENERGIA - COPEL,76.483.817/0001-20,33.5,19.92,27.75,8171294.840000001,3212937.94,38096421.42
COGNA EDUCAÇÃO S.A.,02.800.026/0001-40,31.75,16.0,21.08,23052582.950000003,3217311.0300000003,195913468.32999998
BANCO INTER S.A.,00.416.968/0001-01,26.83,8.83,45.5,17119858.21,955000.87,61009083.84
VIA S.A.,33.041.260/0652-90,27.009999999999998,6.67,19.83,27748202.17,2042772.0,218715474.39
